gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000000838	2419	2956	2678	2760	1169	808	624	788
ENSMUSG00000000861	427	639	459	567	152	79	80	100
ENSMUSG00000000869	0	0	0	0	0	1	0	0
ENSMUSG00000000876	616	821	550	935	1266	530	837	1313
ENSMUSG00000000881	482	485	430	514	372	227	186	291
ENSMUSG00000000884	103	108	94	151	76	40	58	92
ENSMUSG00000000889	60	54	55	76	327	174	292	153
ENSMUSG00000000901	473	475	409	635	269	128	133	278
ENSMUSG00000000902	1249	1273	1097	1429	749	461	442	816
ENSMUSG00000000903	3	6	3	6	0	1	0	3
ENSMUSG00000000915	1051	1298	1004	1422	814	456	575	724
ENSMUSG00000000916	307	377	269	352	339	172	281	366
ENSMUSG00000000934	180	199	198	187	165	123	134	183
ENSMUSG00000000938	9	13	3	3	3	10	0	4
ENSMUSG00000000942	16	15	9	14	10	10	2	5
ENSMUSG00000000948	1721	1551	1724	1703	2608	1175	1947	2553
ENSMUSG00000000957	3802	3779	3079	5127	509	432	258	373
ENSMUSG00000000958	242	158	196	291	251	162	74	90
ENSMUSG00000000959	2726	3444	2816	4153	3222	1544	2376	3202
ENSMUSG00000000976	650	749	622	830	548	342	358	501
ENSMUSG00000000982	8	4	2	4	5	1	3	3
ENSMUSG00000000983	12	8	5	6	3	0	0	6
ENSMUSG00000001014	5	10	3	12	7	9	11	15
ENSMUSG00000001016	1726	2050	1831	2116	1112	670	710	1112
ENSMUSG00000001017	3695	4548	3714	4005	3775	2340	2486	3609
ENSMUSG00000001018	1054	1425	1030	1338	1999	1212	1575	2165
ENSMUSG00000001020	43	46	53	49	156	109	71	118
ENSMUSG00000001021	0	1	0	0	0	0	0	0
ENSMUSG00000001023	0	0	0	0	0	0	0	0
ENSMUSG00000001025	437	318	275	434	955	704	637	728
ENSMUSG00000001027	77	153	114	114	1568	618	1225	2344
ENSMUSG00000001029	990	1271	1099	1134	774	551	475	530
ENSMUSG00000001034	571	575	510	724	390	170	263	282
ENSMUSG00000001036	1297	1413	1149	1654	1871	1079	1218	1773
ENSMUSG00000001039	122	97	86	132	86	56	66	97
ENSMUSG00000001052	2025	2309	1803	2571	1617	863	984	1243
ENSMUSG00000001053	482	582	492	648	380	197	221	336
ENSMUSG00000001054	530	676	498	696	433	261	307	452
ENSMUSG00000001056	368	386	330	446	261	150	190	246
ENSMUSG00000001062	779	802	620	924	1019	471	962	973
ENSMUSG00000001065	490	630	465	644	730	354	498	581
ENSMUSG00000001076	2	0	2	3	0	0	0	0
ENSMUSG00000001082	467	489	385	511	264	141	181	268
ENSMUSG00000001089	3472	3832	3027	4056	4240	2185	1837	2786
ENSMUSG00000001095	2	0	0	0	2	4	1	4
ENSMUSG00000001098	2628	2838	2233	3090	2315	1272	1443	1716
ENSMUSG00000001100	3196	3425	3148	3821	4065	2069	3130	4343
ENSMUSG00000001103	0	0	0	0	0	0	0	1
ENSMUSG00000001105	889	1167	963	1256	910	637	697	901
ENSMUSG00000001119	8440	9478	7270	11336	7149	4726	2492	3075
